id,douban_id,name,year,rating
123,1291858,鬼子来了,2000,9.2
124,1291847,十七岁的单车,2001,7.8
125,1292329,牯岭街少年杀人事件 牯嶺街少年殺人事件,1991,8.8
126,1292528,猜火车 Trainspotting,1996,8.5
127,1291548,死亡诗社 Dead Poets Society,1989,9.0
128,1308575,蓝色大门 藍色大門,2002,8.3
129,1292402,西西里的美丽传说 Malèna,2000,8.8
130,1292656,心灵捕手 Good Will Hunting,1997,8.8
131,3319755,怦然心动 Flipped,2010,9.0
132,1308741,独自等待,2005,8.1
133,1291583,天空之城 天空の城ラピュタ,1986,9.0
134,1308807,哈尔的移动城堡 ハウルの動く城,2004,8.9
135,1297359,幽灵公主 もののけ姫,1997,8.8
136,1291560,龙猫 となりのトトロ,1988,9.1
137,1291585,风之谷 風の谷のナウシカ,1984,8.8
138,1307811,魔女宅急便 魔女の宅急便,1989,8.5
139,1959877,悬崖上的金鱼姬 崖の上のポニョ,2008,8.3
140,4202302,借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,2010,8.7
141,1301753,狮子王 The Lion King,1994,8.9
142,1297052,侧耳倾听 耳をすませば,1995,8.8
143,1292214,非常嫌疑犯 The Usual Suspects,1995,8.6
144,1293434,王牌对王牌 The Negotiator,1998,8.4
145,1296217,一级恐惧 Primal Fear,1996,8.4
146,1305725,大卫·戈尔的一生 The Life of David Gale,2003,8.6
147,1397546,追随 Following,1998,8.9
148,1305487,猫鼠游戏 Catch Me If You Can,2002,8.8
149,1304447,记忆碎片 Memento,2000,8.6
150,1295045,天才瑞普利 The Talented Mr. Ripley,1999,8.2
151,1293374,热天午后 Dog Day Afternoon,1975,8.6
152,2222996,步履不停 歩いても 歩いても,2008,8.8
153,10571509,如父如子 そして父になる,2013,8.5
154,4832288,奇迹 奇跡,2011,8.7
155,5996409,东京家族 東京家族,2013,8.7
156,25980443,海边的曼彻斯特 Manchester by the Sea,2016,8.6
157,26020796,家族之苦 家族はつらいよ,2016,8.1
158,27622447,小偷家族 万引き家族,2018,8.7
159,1291818,饮食男女 飲食男女,1994,9.1
160,1294433,秋刀鱼之味 秋刀魚の味,1962,8.7
161,1309070,飞行家 The Aviator,2004,7.9
162,6803494,极速风流 Rush,2013,8.7
163,3205624,社交网络 The Social Network,2010,8.1
164,6879185,为奴十二年 12 Years a Slave,2013,7.9
165,1793929,达拉斯买家俱乐部 Dallas Buyers Club,2013,8.7
166,26303622,大空头 The Big Short,2015,8.4
167,4116480,菲利普船长 Captain Phillips,2013,8.1
168,25954475,聚焦 Spotlight,2015,8.8
169,25750969,夜行者 Nightcrawler,2014,8.3
170,1306951,鹿鼎记2：神龙教 鹿鼎記II 神龍教,1992,7.7
171,1297518,九品芝麻官,1994,8.2
172,1302090,逃学威龙 逃學威龍,1991,7.6
173,1293351,食神,1996,7.8
174,1307739,国产凌凌漆 國產凌凌漆,1994,8.2
175,1298644,赌圣 賭聖,1990,7.5
176,1329936,大内密探零零发 大內密探零零發,1996,7.7
177,1300498,百变星君 百變星君,1995,7.4
178,1299680,整蛊专家 整蠱專家,1991,7.4
179,1305355,审死官 審死官,1992,7.5
180,1297192,致命ID Identity,2003,8.7
181,2334904,禁闭岛 Shutter Island,2010,8.7
182,1301746,汉尼拔 Hannibal,2001,8.1
183,3011051,恐怖游轮 Triangle,2009,8.4
184,1297630,第六感 The Sixth Sense,1999,8.8
185,1292225,闪灵 The Shining,1980,8.0
186,1978709,黑天鹅 Black Swan,2010,8.5
187,1760622,香水 Perfume: The Story of a Murderer,2006,8.4
188,11614603,整容日记,2014,4.5
189,24751757,微爱之渐入佳境,2014,4.5
190,25849475,新娘大作战,2015,3.9
191,24879858,分手大师,2014,5.0
192,26607739,极限挑战之皇家宝藏,2016,4.4
193,25881786,前任2：备胎反击战,2015,5.0
194,25908042,横冲直撞好莱坞,2015,4.4
195,25908302,爸爸的假期,2015,4.0
196,6985810,狩猎 Jagten,2012,9.1
197,1292365,活着,1994,9.1
198,21937445,辩护人 변호인,2013,9.2
